books
book_id,book_title,book_rating,genres
2767052,"The Hunger Games (The Hunger Games, #1)",4.34,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,Fantasy|Young Adult|Fiction
41865,"Twilight (Twilight, #1)",3.57,Classics|Fiction|Historical|Historical Fiction|Academic|School
2657,To Kill a Mockingbird,4.25,Classics|Fiction|Romance
4671,The Great Gatsby,3.89,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction|Fantasy|Paranormal
11870085,The Fault in Our Stars,4.26,Historical|Historical Fiction|Fiction|Young Adult
5907,The Hobbit,4.25,Fantasy|Classics|Fiction|Young Adult|Childrens
5107,The Catcher in the Rye,3.79,Classics|Fiction|Science Fiction|Dystopia|Fantasy|Literature|Academic|School|Politics|Science Fiction|Novels|Academic|Read For School
960,"Angels & Demons  (Robert Langdon, #1)",3.85,Classics|Historical|Historical Fiction|Fiction|Romance|Historical
1885,Pride and Prejudice,4.24,Fantasy|Fiction|Classics
77203,The Kite Runner,4.26,Young Adult|Fiction|Romance|Contemporary
13335037,"Divergent (Divergent, #1)",4.24,Science Fiction|Fiction|Humor|Fantasy|Classics
5470,Nineteen Eighty-four,4.14,Childrens|Childrens|Picture Books|Classics|Fiction
7613,Animal Farm,3.87,Classics|Fiction|Romance|Literature
48855,The Diary of a Young Girl,4.1,Fiction|Mystery|Thriller
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,Fiction|Historical|Historical Fiction|Romance|Historical
6148028,"Catching Fire (The Hunger Games, #2)",4.3,Classics|Fantasy|Fiction|Childrens
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,Fiction|Classics|Horror|Fantasy|Literature|Gothic|Novels|Literature|19th Century|Classics|Classic Literature|European Literature|British Literature
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,Classics|Fiction|Historical|Historical Fiction|Literature
7260188,"Mockingjay (The Hunger Games, #3)",4.03,Young Adult|Science Fiction|Dystopia|Fiction|Fantasy
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,Classics|Fiction|Romance|Historical|Historical Fiction|Literature|Gothic|Historical|Literature|19th Century|Classics|Classic Literature|Academic|School
12232938,The Lovely Bones,3.77,Classics|Plays|Fiction|Romance|Academic|School|Drama|Academic|Read For School|Literature|Young Adult|High School|Poetry
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,Classics|Fiction|Young Adult|Academic|School|Literature
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,Fiction|Classics|Fantasy|Philosophy|Novels|Spirituality|Literature|Inspirational|Adventure|Self Help
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,Classics|Fiction|Cultural|Russia|Literature|Literature|Russian Literature
968,"The Da Vinci Code (Robert Langdon, #2)",3.79,Science Fiction|Fiction|Young Adult|Fantasy
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,Young Adult|Fiction|Contemporary
7624,Lord of the Flies,3.64,Fantasy|Young Adult|Fantasy|Paranormal|Romance
18135,Romeo and Juliet,3.73,Fiction|Historical|Historical Fiction|Historical|Adult
19288043,Gone Girl,4.03,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction|Romance|Novels|Academic|Read For School|Young Adult|High School|Literature|American
4667024,The Help,4.45,Fiction|Romance|Fantasy|Science Fiction|Time Travel|Science Fiction
890,Of Mice and Men,3.84,Classics|Childrens|Fiction
929,Memoirs of a Geisha,4.08,Classics|Fiction|Young Adult|Childrens|Historical|Historical Fiction|Historical|Cultural|Canada|Childrens|Middle Grade|Audiobook|Young Adult|Coming Of Age
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction
865,The Alchemist,3.82,Classics|Horror|Fiction|Fantasy|Paranormal|Vampires
3636,"The Giver (The Giver, #1)",4.12,Classics|Fiction|Science Fiction|Science Fiction|Dystopia|Literature|Novels|Academic|School|Fantasy|Science Fiction Fantasy|Philosophy
100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,Fiction|Classics|Magical Realism|Literature
18619684,The Time Traveler's Wife,3.95,Classics|Fiction|Fantasy|Childrens
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,Fantasy|Fiction|Classics|Romance|Humor|Young Adult
19501,"Eat, Pray, Love",3.51,Classics|Fiction|Childrens|Young Adult|Historical|Historical Fiction|Childrens|Middle Grade|Literature|Fantasy|Historical|Novels
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,Classics|Fiction|Young Adult|Literature
1934,"Little Women (Little Women, #1)",4.04,Fiction|Historical|Historical Fiction
10210,Jane Eyre,4.1,Fantasy|Young Adult|Fiction|Classics|Science Fiction|Childrens
15931,"The Notebook (The Notebook, #1)",4.06,Classics|Fiction|Science Fiction|Science Fiction|Dystopia
4214,Life of Pi,3.88,Fantasy|Fiction|Fantasy|Epic Fantasy
43641,Water for Elephants,4.07,Fantasy|Young Adult|Fantasy|Mythology|Fiction
19063,The Book Thief,4.36,Classics|Fiction|Historical|Historical Fiction|Literature|Young Adult
4381,Fahrenheit 451,3.97,Fiction|Mystery|Young Adult|Contemporary
49041,"New Moon (Twilight, #2)",3.52,Childrens|Childrens|Picture Books|Fiction|Classics
30119,Where the Sidewalk Ends,4.29,Childrens|Childrens|Picture Books|Classics|Fiction
256683,"City of Bones (The Mortal Instruments, #1)",4.12,Fantasy|Young Adult|Fiction
428263,"Eclipse (Twilight, #3)",3.69,Fiction|Fantasy|Classics|Adventure
113436,"Eragon (The Inheritance Cycle, #1)",3.86,Classics|Fiction|Historical|Historical Fiction|Literature
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,Classics|Young Adult|Fiction|Academic|School
5129,Brave New World,3.97,Fiction|Historical|Historical Fiction|Romance|Historical
1162543,"Breaking Dawn (Twilight, #4)",3.7,Classics|Fiction|Poetry|Fantasy|Mythology|Fantasy|Academic|School|Literature|Adventure|Academic|Read For School|Historical|Historical Fiction
37435,The Secret Life of Bees,4.01,Classics|Fiction|Literature
2956,The Adventures of Huckleberry Finn,3.8,Classics|Fiction|Science Fiction|War
24178,Charlotte's Web,4.15,Classics|Fiction|War|Historical|Historical Fiction|Humor
1618,The Curious Incident of the Dog in the Night-Time,3.85,Classics|Fiction|Horror|Science Fiction|Gothic|Fantasy|Literature|Academic|School|Novels|Literature|19th Century
22557272,The Girl on the Train,3.88,Fiction|Historical|Historical Fiction|Contemporary
119322,"The Golden Compass (His Dark Materials, #1)",3.94,Historical|Historical Fiction|Fiction|Historical
6185,Wuthering Heights,3.82,Horror|Fiction|Fantasy|Science Fiction|Apocalyptic|Post Apocalyptic
10917,My Sister's Keeper,4.06,Young Adult|Fiction|Classics|Science Fiction|Dystopia|Science Fiction
4981,Slaughterhouse-Five,4.06,Classics|Fiction|Fantasy|Young Adult|Animals
18405,Gone with the Wind,4.28,Fiction|Classics|Science Fiction|Dystopia|Science Fiction|Feminism
128029,A Thousand Splendid Suns,4.34,Classics|Mystery|Fiction|Short Stories|Mystery|Crime|Mystery|Detective|Literature|Adventure|Literature|19th Century|Historical|Historical Fiction
22628,The Perks of Being a Wallflower,4.21,Fiction|Contemporary|Womens Fiction|Chick Lit
