book_id,authors,year,title,language_code,image_url,genres
1,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",eng,https://images.gr-assets.com/books/1447303603m/2767052.jpg,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction
2,"J.K. Rowling, Mary GrandPré",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,https://images.gr-assets.com/books/1474154022m/3.jpg,Fantasy|Young Adult|Fiction
3,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",en-US,https://images.gr-assets.com/books/1361039443m/41865.jpg,Classics|Fiction|Historical|Historical Fiction|Academic|School
4,Harper Lee,1960.0,To Kill a Mockingbird,eng,https://images.gr-assets.com/books/1361975680m/2657.jpg,Classics|Fiction|Romance
5,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng,https://images.gr-assets.com/books/1490528560m/4671.jpg,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction|Fantasy|Paranormal
6,John Green,2012.0,The Fault in Our Stars,eng,https://images.gr-assets.com/books/1360206420m/11870085.jpg,Historical|Historical Fiction|Fiction|Young Adult
7,J.R.R. Tolkien,1937.0,The Hobbit,en-US,https://images.gr-assets.com/books/1372847500m/5907.jpg,Fantasy|Classics|Fiction|Young Adult|Childrens
8,J.D. Salinger,1951.0,The Catcher in the Rye,eng,https://images.gr-assets.com/books/1398034300m/5107.jpg,Classics|Fiction|Science Fiction|Dystopia|Fantasy|Literature|Academic|School|Politics|Science Fiction|Novels|Academic|Read For School
9,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",en-CA,https://images.gr-assets.com/books/1303390735m/960.jpg,Classics|Historical|Historical Fiction|Fiction|Romance|Historical
10,Jane Austen,1813.0,Pride and Prejudice,eng,https://images.gr-assets.com/books/1320399351m/1885.jpg,Fantasy|Fiction|Classics
11,Khaled Hosseini,2003.0,The Kite Runner,eng,https://images.gr-assets.com/books/1484565687m/77203.jpg,Young Adult|Fiction|Romance|Contemporary
12,Veronica Roth,2011.0,"Divergent (Divergent, #1)",eng,https://images.gr-assets.com/books/1328559506m/13335037.jpg,Science Fiction|Fiction|Humor|Fantasy|Classics
13,"George Orwell, Erich Fromm, Celâl Üster",1949.0,1984,eng,https://images.gr-assets.com/books/1348990566m/5470.jpg,Childrens|Childrens|Picture Books|Classics|Fiction
14,George Orwell,1945.0,Animal Farm,eng,https://images.gr-assets.com/books/1424037542m/7613.jpg,Classics|Fiction|Romance|Literature
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl,eng,https://images.gr-assets.com/books/1358276407m/48855.jpg,Fiction|Mystery|Thriller
16,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,https://images.gr-assets.com/books/1327868566m/2429135.jpg,Fiction|Historical|Historical Fiction|Romance|Historical
17,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",eng,https://images.gr-assets.com/books/1358273780m/6148028.jpg,Classics|Fantasy|Fiction|Childrens
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,https://images.gr-assets.com/books/1499277281m/5.jpg,Fiction|Classics|Horror|Fantasy|Literature|Gothic|Novels|Literature|19th Century|Classics|Classic Literature|European Literature|British Literature
19,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,https://images.gr-assets.com/books/1298411339m/34.jpg,Classics|Fiction|Historical|Historical Fiction|Literature
20,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",eng,https://images.gr-assets.com/books/1358275419m/7260188.jpg,Young Adult|Science Fiction|Dystopia|Fiction|Fantasy
21,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,https://images.gr-assets.com/books/1387141547m/2.jpg,Classics|Fiction|Romance|Historical|Historical Fiction|Literature|Gothic|Historical|Literature|19th Century|Classics|Classic Literature|Academic|School
22,Alice Sebold,2002.0,The Lovely Bones,eng,https://images.gr-assets.com/books/1457810586m/12232938.jpg,Classics|Plays|Fiction|Romance|Academic|School|Drama|Academic|Read For School|Literature|Young Adult|High School|Poetry
23,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,https://images.gr-assets.com/books/1474169725m/15881.jpg,Classics|Fiction|Young Adult|Academic|School|Literature
24,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,https://images.gr-assets.com/books/1361482611m/6.jpg,Fiction|Classics|Fantasy|Philosophy|Novels|Spirituality|Literature|Inspirational|Adventure|Self Help
25,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,https://images.gr-assets.com/books/1474171184m/136251.jpg,Classics|Fiction|Cultural|Russia|Literature|Literature|Russian Literature
